# New log file created
2026-03-09 23:12:06,631 INFO: Protocol=TLS, Size=157, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:06,644 INFO: Protocol=TCP, Size=1434, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:06,744 INFO: Protocol=TLS, Size=1255, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:06,757 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:06,773 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:06,786 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:06,804 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:06,870 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:06,882 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:06,903 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:06,913 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:06,924 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:07,090 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:07,104 INFO: Protocol=TLS, Size=521, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:07,129 INFO: Protocol=TCP, Size=54, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:07,140 INFO: Protocol=TLS, Size=78, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:07,195 INFO: Protocol=TCP, Size=54, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:07,384 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:07,397 INFO: Protocol=TCP, Size=54, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:07,961 INFO: Packet capture stopped by user
2026-03-09 23:12:51,059 INFO: Protocol=DNS, Size=92, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:12:51,066 INFO: Protocol=DNS, Size=92, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:12:51,410 INFO: Protocol=DNS, Size=212, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:12:51,425 INFO: Protocol=DNS, Size=224, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:12:51,590 INFO: Protocol=TCP, Size=66, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:52,061 INFO: Protocol=TCP, Size=70, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:52,088 INFO: Protocol=TCP, Size=54, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:52,170 INFO: Protocol=TLS, Size=571, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:52,703 INFO: Protocol=TLS, Size=153, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:52,742 INFO: Protocol=TLS, Size=491, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:52,938 INFO: Protocol=TLS, Size=1434, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:52,962 INFO: Protocol=TCP, Size=1434, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:52,976 INFO: Protocol=TCP, Size=54, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:52,990 INFO: Protocol=TCP, Size=1434, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:53,051 INFO: Protocol=TLS, Size=406, Src=20.42.73.24, Dst=192.168.147.246
2026-03-09 23:12:53,063 INFO: Protocol=TCP, Size=54, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:53,100 INFO: Protocol=TLS, Size=1434, Src=192.168.147.246, Dst=20.42.73.24
2026-03-09 23:12:53,136 INFO: Protocol=TLS, Size=620, Src=192.168.147.246, Dst=20.42.73.24
